index,latitude,longitude,elevation_m
428,35.652006,-117.693106,90.0
429,35.652006,-117.693195,90.0
430,35.652007,-117.693283,90.0
431,35.652007,-117.693371,90.0
432,35.652007,-117.69346,90.0
433,35.652007,-117.693548,90.0
434,35.652007,-117.693636,90.0
435,35.652007,-117.693725,90.0
436,35.652008,-117.693813,90.0
437,35.652008,-117.693902,90.0
438,35.652008,-117.69399,90.0
439,35.652008,-117.694078,90.0
440,35.652008,-117.694167,90.0
441,35.652008,-117.694255,90.0
442,35.652009,-117.694343,90.0
443,35.652009,-117.694432,90.0
444,35.652009,-117.69452,90.0
445,35.652009,-117.694609,90.0
446,35.652009,-117.694697,90.0
447,35.652009,-117.694785,90.0
448,35.65201,-117.694874,90.0
449,35.65201,-117.694962,90.0
450,35.65201,-117.69505,90.0
451,35.65201,-117.695139,90.0
452,35.65201,-117.695227,90.0
453,35.652011,-117.695315,90.0
454,35.652011,-117.695404,90.0
455,35.652011,-117.695492,90.0
456,35.652011,-117.695581,90.0
472,35.652011,-117.695669,90.0
473,35.652011,-117.695675,90.0
474,35.652012,-117.695763,90.0
475,35.652013,-117.695852,90.0
476,35.652013,-117.69594,90.0
477,35.652014,-117.696028,90.0
478,35.652014,-117.696117,90.0
479,35.652015,-117.696205,90.0
480,35.652016,-117.696294,90.0
481,35.652016,-117.696382,90.0
482,35.652017,-117.69647,90.0
483,35.652017,-117.696559,90.0
484,35.652018,-117.696647,90.0
485,35.652019,-117.696735,90.0
486,35.652019,-117.696824,90.0
487,35.65202,-117.696912,90.0
488,35.65202,-117.697,90.0
489,35.652021,-117.697089,90.0
490,35.652022,-117.697177,90.0
491,35.652022,-117.697266,90.0
492,35.652023,-117.697354,90.0
493,35.652024,-117.697442,90.0
494,35.652024,-117.697531,90.0
495,35.652025,-117.697619,90.0
496,35.652025,-117.697707,90.0
497,35.652026,-117.697796,90.0
498,35.652027,-117.697884,90.0
499,35.652027,-117.697973,90.0
500,35.652028,-117.698061,90.0
501,35.652028,-117.698149,90.0
502,35.652029,-117.698238,90.0
503,35.65203,-117.698326,90.0
504,35.65203,-117.698414,90.0
505,35.652031,-117.698503,90.0
506,35.652031,-117.698591,90.0
507,35.652032,-117.69868,90.0
508,35.652033,-117.698768,90.0
509,35.652033,-117.698856,90.0
510,35.652034,-117.698945,90.0
511,35.652034,-117.699033,90.0
512,35.652035,-117.699121,90.0
513,35.652036,-117.69921,90.0
514,35.652036,-117.699298,90.0
515,35.652037,-117.699386,90.0
516,35.652037,-117.699475,90.0
517,35.652038,-117.699563,90.0
518,35.652039,-117.699652,90.0
519,35.652039,-117.69974,90.0
520,35.65204,-117.699828,90.0
521,35.65204,-117.699917,90.0
522,35.652041,-117.700005,90.0
523,35.652042,-117.700093,90.0
524,35.652042,-117.700182,90.0
525,35.652043,-117.70027,90.0
526,35.652043,-117.700359,90.0
527,35.652044,-117.700447,90.0
528,35.652045,-117.700535,90.0
529,35.652045,-117.700624,90.0
530,35.652046,-117.700712,90.0
531,35.652046,-117.7008,90.0
532,35.652047,-117.700889,90.0
533,35.652048,-117.700977,90.0
534,35.652048,-117.701065,90.0
535,35.652049,-117.701154,90.0
536,35.652049,-117.701242,90.0
537,35.65205,-117.701331,90.0
538,35.652051,-117.701419,90.0
539,35.652051,-117.701507,90.0
540,35.652052,-117.701596,90.0
541,35.652052,-117.701684,90.0
542,35.652053,-117.701772,90.0
543,35.652054,-117.701861,90.0
544,35.652054,-117.701949,90.0
545,35.652055,-117.702038,90.0
546,35.652055,-117.702126,90.0
547,35.652056,-117.702214,90.0
548,35.652057,-117.702303,90.0
549,35.652057,-117.702391,90.0
550,35.652058,-117.702479,90.0
551,35.652058,-117.702568,90.0
552,35.652059,-117.702656,90.0
553,35.65206,-117.702744,90.0
554,35.65206,-117.702833,90.0
555,35.652061,-117.702921,90.0
556,35.652061,-117.70301,90.0
557,35.652062,-117.703098,90.0
558,35.652063,-117.703186,90.0
559,35.652063,-117.703275,90.0
560,35.652064,-117.703363,90.0
561,35.652064,-117.703451,90.0
562,35.652065,-117.70354,90.0
563,35.652066,-117.703628,90.0
564,35.652066,-117.703717,90.0
565,35.652067,-117.703805,90.0
566,35.652067,-117.703893,90.0
567,35.652068,-117.703982,90.0
568,35.652069,-117.70407,90.0
569,35.652069,-117.704158,90.0
570,35.65207,-117.704247,90.0
571,35.65207,-117.704335,90.0
572,35.652071,-117.704423,90.0
573,35.652072,-117.704512,90.0
574,35.652072,-117.7046,90.0
575,35.652073,-117.704689,90.0
576,35.652073,-117.704777,90.0
577,35.652074,-117.704865,90.0
578,35.652075,-117.704954,90.0
579,35.652075,-117.705042,90.0
580,35.652076,-117.70513,90.0
581,35.652076,-117.705219,90.0
582,35.652077,-117.705307,90.0
583,35.652077,-117.705396,90.0
584,35.652078,-117.705484,90.0
585,35.652079,-117.705572,90.0
586,35.652079,-117.705661,90.0
587,35.65208,-117.705749,90.0
588,35.65208,-117.705837,90.0
589,35.652081,-117.705926,90.0
590,35.652082,-117.706014,90.0
591,35.652082,-117.706103,90.0
592,35.652083,-117.706191,90.0
593,35.652083,-117.706279,90.0
594,35.652084,-117.706368,90.0
595,35.652085,-117.706456,90.0
596,35.652085,-117.706544,90.0
597,35.652086,-117.706633,90.0
598,35.652086,-117.706721,90.0
599,35.652087,-117.706809,90.0
600,35.652088,-117.706898,90.0
601,35.652088,-117.706986,90.0
602,35.652089,-117.707075,90.0
603,35.652089,-117.707163,90.0
604,35.65209,-117.707251,90.0
605,35.652091,-117.70734,90.0
606,35.652091,-117.707428,90.0
607,35.652092,-117.707516,90.0
608,35.652092,-117.707605,90.0
609,35.652093,-117.707693,90.0
610,35.652094,-117.707782,90.0
611,35.652094,-117.70787,90.0
612,35.652095,-117.707958,90.0
613,35.652095,-117.708047,90.0
614,35.652096,-117.708135,90.0
615,35.652097,-117.708223,90.0
616,35.652097,-117.708312,90.0
617,35.652098,-117.7084,90.0
618,35.652098,-117.708488,90.0
619,35.652099,-117.708577,90.0
620,35.6521,-117.708665,90.0
621,35.6521,-117.708754,90.0
622,35.652101,-117.708842,90.0
623,35.652101,-117.70893,90.0
624,35.652102,-117.709019,90.0
625,35.652103,-117.709107,90.0
626,35.652103,-117.709195,90.0
627,35.652104,-117.709284,90.0
628,35.652104,-117.709372,90.0
629,35.652105,-117.709461,90.0
630,35.652105,-117.709549,90.0
631,35.652106,-117.709637,90.0
632,35.652107,-117.709726,90.0
633,35.652107,-117.709814,90.0
634,35.652108,-117.709902,90.0
635,35.652108,-117.709991,90.0
636,35.652109,-117.710079,90.0
637,35.65211,-117.710167,90.0
638,35.65211,-117.710256,90.0
639,35.652111,-117.710344,90.0
640,35.652111,-117.710433,90.0
641,35.652112,-117.710521,90.0
642,35.652113,-117.710609,90.0
643,35.652113,-117.710698,90.0
644,35.652114,-117.710786,90.0
645,35.652114,-117.710874,90.0
646,35.652115,-117.710963,90.0
647,35.652116,-117.711051,90.0
648,35.652116,-117.71114,90.0
649,35.652117,-117.711228,90.0
650,35.652117,-117.711316,90.0
651,35.652118,-117.711405,90.0
652,35.652119,-117.711493,90.0
653,35.652119,-117.711581,90.0
654,35.65212,-117.71167,90.0
655,35.65212,-117.711758,90.0
656,35.652121,-117.711846,90.0
657,35.652121,-117.711935,90.0
658,35.652122,-117.712023,90.0
659,35.652123,-117.712112,90.0
660,35.652123,-117.7122,90.0
661,35.652124,-117.712288,90.0
662,35.652124,-117.712377,90.0
669,35.652125,-117.712465,90.0
670,35.652125,-117.71254,90.0
671,35.652125,-117.712628,90.0
672,35.652125,-117.712717,90.0
673,35.652125,-117.712805,90.0
674,35.652125,-117.712893,90.0
675,35.652125,-117.712982,90.0
676,35.652125,-117.71307,90.0
677,35.652125,-117.713159,90.0
678,35.652125,-117.713247,90.0
679,35.652125,-117.713335,90.0
680,35.652125,-117.713424,90.0
681,35.652125,-117.713512,90.0
682,35.652125,-117.7136,90.0
683,35.652126,-117.713689,90.0
684,35.652126,-117.713777,90.0
685,35.652126,-117.713866,90.0
686,35.652126,-117.713954,90.0
687,35.652126,-117.714042,90.0
688,35.652126,-117.714131,90.0
689,35.652126,-117.714219,90.0
690,35.652126,-117.714307,90.0
691,35.652126,-117.714396,90.0
692,35.652126,-117.714484,90.0
693,35.652126,-117.714573,90.0
694,35.652126,-117.714661,90.0
695,35.652126,-117.714749,90.0
696,35.652126,-117.714838,90.0
697,35.652126,-117.714926,90.0
698,35.652126,-117.715014,90.0
699,35.652126,-117.715103,90.0
700,35.652126,-117.715191,90.0
701,35.652126,-117.715279,90.0
702,35.652126,-117.715368,90.0
703,35.652126,-117.715456,90.0
704,35.652126,-117.715545,90.0
705,35.652126,-117.715633,90.0
706,35.652126,-117.715721,90.0
707,35.652126,-117.71581,90.0
708,35.652126,-117.715898,90.0
709,35.652126,-117.715986,90.0
710,35.652126,-117.716075,90.0
711,35.652127,-117.716163,90.0
712,35.652127,-117.716252,90.0
713,35.652127,-117.71634,90.0
714,35.652127,-117.716428,90.0
715,35.652127,-117.716517,90.0
716,35.652127,-117.716605,90.0
717,35.652127,-117.716693,90.0
718,35.652127,-117.716782,90.0
719,35.652127,-117.71687,90.0
720,35.652127,-117.716959,90.0
721,35.652127,-117.717047,90.0
722,35.652127,-117.717135,90.0
723,35.652127,-117.717224,90.0
724,35.652127,-117.717312,90.0
725,35.652127,-117.7174,90.0
726,35.652127,-117.717489,90.0
727,35.652127,-117.717577,90.0
728,35.652127,-117.717666,90.0
729,35.652127,-117.717754,90.0
730,35.652127,-117.717842,90.0
731,35.652127,-117.717931,90.0
732,35.652127,-117.718019,90.0
733,35.652127,-117.718107,90.0
734,35.652127,-117.718196,90.0
735,35.652127,-117.718284,90.0
736,35.652127,-117.718373,90.0
737,35.652127,-117.718461,90.0
738,35.652127,-117.718549,90.0
739,35.652127,-117.718638,90.0
740,35.652127,-117.718726,90.0
741,35.652128,-117.718814,90.0
742,35.652128,-117.718903,90.0
743,35.652128,-117.718991,90.0
744,35.652128,-117.719079,90.0
745,35.652128,-117.719168,90.0
746,35.652128,-117.719256,90.0
747,35.652128,-117.719345,90.0
748,35.652128,-117.719433,90.0
749,35.652128,-117.719521,90.0
750,35.652128,-117.71961,90.0
751,35.652128,-117.719698,90.0
752,35.652128,-117.719786,90.0
753,35.652128,-117.719875,90.0
754,35.652128,-117.719963,90.0
755,35.652128,-117.720052,90.0
756,35.652128,-117.72014,90.0
757,35.652128,-117.720228,90.0
758,35.652128,-117.720317,90.0
759,35.652128,-117.720405,90.0
760,35.652128,-117.720493,90.0
761,35.652128,-117.720582,90.0
762,35.652128,-117.72067,90.0
763,35.652128,-117.720759,90.0
764,35.652128,-117.720847,90.0
765,35.652128,-117.720935,90.0
766,35.652128,-117.721024,90.0
767,35.652128,-117.721112,90.0
768,35.652128,-117.7212,90.0
769,35.652128,-117.721289,90.0
770,35.652128,-117.721377,90.0
771,35.652128,-117.721466,90.0
772,35.652129,-117.721554,90.0
773,35.652129,-117.721642,90.0
774,35.652129,-117.721731,90.0
775,35.652129,-117.721819,90.0
776,35.652129,-117.721907,90.0
777,35.652129,-117.721996,90.0
778,35.652129,-117.722084,90.0
779,35.652129,-117.722173,90.0
780,35.652129,-117.722261,90.0
781,35.652129,-117.722349,90.0
782,35.652129,-117.722438,90.0
783,35.652129,-117.722526,90.0
784,35.652129,-117.722614,90.0
785,35.652129,-117.722703,90.0
786,35.652129,-117.722791,90.0
787,35.652129,-117.722879,90.0
788,35.652129,-117.722968,90.0
789,35.652129,-117.723056,90.0
790,35.652129,-117.723145,90.0
791,35.652129,-117.723233,90.0
792,35.652129,-117.723321,90.0
793,35.652129,-117.72341,90.0
794,35.652129,-117.723498,90.0
795,35.652129,-117.723586,90.0
796,35.652129,-117.723675,90.0
797,35.652129,-117.723763,90.0
798,35.652129,-117.723852,90.0
799,35.652129,-117.72394,90.0
800,35.652129,-117.724028,90.0
801,35.652129,-117.724117,90.0
802,35.652129,-117.724205,90.0
803,35.652129,-117.724293,90.0
804,35.652129,-117.724382,90.0
805,35.65213,-117.72447,90.0
806,35.65213,-117.724559,90.0
807,35.65213,-117.724647,90.0
808,35.65213,-117.724735,90.0
809,35.65213,-117.724824,90.0
810,35.65213,-117.724912,90.0
811,35.65213,-117.725,90.0
812,35.65213,-117.725089,90.0
813,35.65213,-117.725177,90.0
814,35.65213,-117.725266,90.0
815,35.65213,-117.725354,90.0
816,35.65213,-117.725442,90.0
817,35.65213,-117.725531,90.0
818,35.65213,-117.725619,90.0
819,35.65213,-117.725707,90.0
820,35.65213,-117.725796,90.0
821,35.65213,-117.725884,90.0
822,35.65213,-117.725972,90.0
823,35.65213,-117.726061,90.0
824,35.65213,-117.726149,90.0
825,35.65213,-117.726238,90.0
826,35.65213,-117.726326,90.0
827,35.65213,-117.726414,90.0
828,35.65213,-117.726503,90.0
829,35.65213,-117.726591,90.0
830,35.65213,-117.726679,90.0
831,35.65213,-117.726768,90.0
832,35.65213,-117.726856,90.0
833,35.65213,-117.726945,90.0
834,35.65213,-117.727033,90.0
835,35.65213,-117.727121,90.0
836,35.65213,-117.72721,90.0
837,35.65213,-117.727298,90.0
838,35.65213,-117.727386,90.0
839,35.65213,-117.727475,90.0
840,35.65213,-117.727563,90.0
841,35.65213,-117.727652,90.0
842,35.652131,-117.72774,90.0
843,35.652131,-117.727828,90.0
870,35.652131,-117.727917,90.0
871,35.652131,-117.727877,90.0
872,35.652131,-117.727966,90.0
873,35.652131,-117.728054,90.0
874,35.652131,-117.728142,90.0
875,35.652131,-117.728231,90.0
876,35.652132,-117.728319,90.0
877,35.652132,-117.728407,90.0
878,35.652132,-117.728496,90.0
879,35.652132,-117.728584,90.0
880,35.652133,-117.728673,90.0
881,35.652133,-117.728761,90.0
882,35.652133,-117.728849,90.0
883,35.652133,-117.728938,90.0
884,35.652133,-117.729026,90.0
885,35.652134,-117.729114,90.0
886,35.652134,-117.729203,90.0
887,35.652134,-117.729291,90.0
888,35.652134,-117.72938,90.0
889,35.652134,-117.729468,90.0
890,35.652135,-117.729556,90.0
891,35.652135,-117.729645,90.0
892,35.652135,-117.729733,90.0
